Date,WrappedBitcoin Return,WrappedBitcoin Price,Famala Index,US Treasury Yield,Famala Index Return
2020-04-07,-0.02573715538685243,7197.57779047,5555.177564465249,0.75,-0.01196957896531005
2020-04-08,0.02715901551442301,7395.73562302,5647.595808215289,0.77,0.016636415790057053
2020-04-09,-0.014946326005213405,7286.01852361,5624.018197253804,0.73,-0.0041748049545592665
2020-04-10,-0.053893356217594994,6903.74407996,5301.071440974258,0.73,-0.05742277939947641
2020-04-11,-0.002623207063995271,6885.65786204,5292.648396124626,0.73,-0.0015889325287198636
2020-04-12,0.012093883014562266,6969.4377939,5380.264291775766,0.73,0.01655426340342084
2020-04-13,-0.02591612870964579,6791.13735501,5290.40572216748,0.76,-0.016701515898697148
2020-04-14,0.004167955478327476,6819.50158251,5287.603811627634,0.76,-0.0005296211079059231
2020-04-15,-0.028047092449277066,6630.89173393,5130.324042324443,0.63,-0.029744998851337304
2020-04-16,0.07366980487761564,7137.83207911,5473.310679019933,0.61,0.06685477054975443
2020-04-17,-0.01129499098971448,7057.66393164,5456.32530371954,0.65,-0.0031033091846038078
2020-04-18,0.032868952825332066,7293.49650759,5536.08169794122,0.65,0.01461723592017339
2020-04-19,-0.016471355292149343,7174.34670845,5507.242754260681,0.65,-0.005209269886906456
2020-04-20,-0.041209455520863955,6884.70476866,5273.333280177429,0.63,-0.04247306402142675
2020-04-21,0.00867880251842662,6944.715797,5267.143825760051,0.58,-0.001173727145341583
2020-04-22,0.03539768761688356,7194.94532316,5438.521093306351,0.63,0.032537039658599005
2020-04-23,0.03806311371960766,7474.08612851,5703.6539335571415,0.61,0.04875090777474636
2020-04-24,0.013889657958386451,7578.62293803,5787.834650895875,0.60,0.014759085722831215
2020-04-25,0.012687783434414228,7675.39145545,5781.269520275549,0.60,-0.0011342982335041608
2020-04-26,0.0032205128896092192,7700.14999877,5871.271446629184,0.60,0.015567848210153067
2020-04-27,0.01177113485517995,7791.32506706,5974.387377141294,0.67,0.017562793927933782
2020-04-28,0.004101459523331043,7823.34649386,5948.158916511004,0.62,-0.004390150650532516
2020-04-29,0.11817685280105845,8804.73157716,6772.487065551116,0.63,0.1385854279635885
2020-04-30,-0.008935719585786907,8726.40543615,6716.859498197571,0.64,-0.00821375763661469
2020-05-01,0.016267927536360808,8869.52695634,6865.352733678817,0.64,0.022107539322668974
2020-05-02,0.012469154082240804,8980.8148456,6960.728621604209,0.64,0.01389235071018491
2020-05-03,0.0005989475910666113,8986.19549422,6910.123173425962,0.64,-0.007270136637877537
2020-05-04,-0.0012250243930169316,8975.19392551,6936.356507665477,0.64,0.0037963627537638805
2020-05-05,0.00882413861042637,9054.74273947,7034.92978235145,0.66,0.0142111026988071
2020-05-06,0.031220466683930696,9341.89522683,7305.190491026156,0.72,0.038416973166201386
