Date,Tron Return,Tron Price,Famala Index,US Treasury Yield,Famala Index Return
2018-01-05,0.058733982765573386,0.2205549925565719,8500.683954020968,2.47,0.1982680174359778
2018-01-06,-0.2325217711154925,0.1747969985008239,8442.450847824826,2.47,-0.006850402451275237
2018-01-07,0.13296556694065195,0.199654996395111,7435.444242091953,2.47,-0.11927894208496642
2018-01-08,-0.27275634925910114,0.1519930064678192,7147.103653929261,2.49,-0.03877920118483304
2018-01-09,-0.1972662671968975,0.1247820034623146,6896.490832157766,2.55,-0.035064948531104013
2018-01-10,0.03752186067215668,0.1295530050992965,7252.419912440688,2.55,0.05161017232463415
2018-01-11,-0.17200852951202947,0.1090800017118454,6364.938986781847,2.54,-0.1223703172697529
2018-01-12,-0.0020373228018133755,0.1088579967617988,6472.962229699372,2.55,0.016971606977200904
2018-01-13,-0.05497548593459509,0.1030350029468536,6612.71137515672,2.55,0.02158967417052868
2018-01-14,-0.19498079984498357,0.0847823992371559,6417.951745936244,2.55,-0.029452310583547952
2018-01-15,-0.11339041683880612,0.0756938979029655,6634.338742581139,2.55,0.033715896474589085
2018-01-16,-0.32871890892708344,0.0544878989458084,5713.469584100342,2.54,-0.13880345791968493
2018-01-17,0.32778052550789644,0.0756229013204574,5435.08320524422,2.57,-0.04872457527923595
2018-01-18,0.09523696572118064,0.0831791013479232,5430.555462383818,2.62,-0.0008330586100381077
2018-01-19,-0.032748859059076436,0.0804992020130157,5533.89397493087,2.64,0.019029087035912592
2018-01-20,0.056769428429813674,0.0852013006806373,6219.923335398689,2.64,0.12396864912403549
2018-01-21,-0.17971908416960358,0.0711861029267311,5626.647158835942,2.64,-0.0953831976008944
2018-01-22,0.0031640925030965096,0.0714116990566253,5249.030536903659,2.66,-0.0671121915543049
2018-01-23,-0.040581771082876604,0.0685717016458511,5246.956750975205,2.63,-0.00039507979880736585
2018-01-24,0.026608760179610006,0.0704208016395568,5469.373230457156,2.65,0.042389615550120975
2018-01-25,-0.023783625227558038,0.0687656998634338,5410.592635700135,2.63,-0.010747226835735129
2018-01-26,-0.031550169776359174,0.0666299983859062,5413.054327040056,2.66,0.00045497628553251636
2018-01-27,0.02653805045290131,0.0684219002723693,5533.444854628618,2.66,0.022240775782938288
2018-01-28,-0.04372063865615501,0.0654949024319648,5545.745689356809,2.66,0.002222997617460982
2018-01-29,-0.023075213548961065,0.0640008971095085,5347.267155436178,2.70,-0.035789332046282554
2018-01-30,-0.1743432287160434,0.0537612996995449,4834.593874242436,2.73,-0.09587575602474699
2018-01-31,0.012802414729168226,0.0544539988040924,4849.9859215516335,2.72,0.0031837311901631925
2018-02-01,-0.163783606740525,0.0462273992598056,4413.582291916229,2.78,-0.08998039101436973
2018-02-02,-0.12491265870373844,0.0407990999519825,4353.792654083718,2.84,-0.013546736840507088
2018-02-03,0.08620196799803186,0.0444720983505249,4473.1250192518155,2.84,0.027408830564351207
2018-02-04,-0.1590405584965818,0.0379329994320869,4086.984191386996,2.84,-0.08632462231726452
2018-02-05,-0.22927837519596705,0.0301607996225357,3433.256623618662,2.77,-0.15995353472274598
2018-02-06,0.19015529871444334,0.0364775992929935,3788.410174940968,2.79,0.10344509317453027
2018-02-07,-0.10792361674132629,0.0327458009123802,3789.6556080055193,2.84,0.000328748210209535
2018-02-08,0.11468844988747283,0.0367252007126808,4103.6538190774845,2.85,0.0828566612777833
2018-02-09,0.26706053144551245,0.0479675009846687,4236.018561667811,2.83,0.0322553383950117
2018-02-10,0.01514095260769196,0.0486993007361888,4123.746487009211,2.83,-0.026504150778413064
2018-02-11,-0.13849507648363452,0.0424009002745151,3904.729636148855,2.83,-0.053111133662147064
2018-02-12,0.08399687020404986,0.0461162999272346,4332.791331495647,2.86,0.10962646206895363
2018-02-13,-0.06172597125825328,0.0433558002114295,4160.439412675299,2.83,-0.03977849511641576
2018-02-14,0.057804241599022886,0.0459357984364032,4579.24657915102,2.91,0.10066416667426362
2018-02-15,0.012121554971530515,0.0464960001409053,5012.456224070176,2.90,0.09460282110413712
2018-02-16,0.12046736209704348,0.0524486005306243,5054.084224853587,2.87,0.008304910591240776
2018-02-17,0.045929202701713585,0.0549136996269226,5589.596672054507,2.87,0.10595637575003662
2018-02-18,-0.10165505853743438,0.0496058017015457,5344.621699472676,2.87,-0.04382694977020377
2018-02-19,0.0382891928609011,0.0515419989824295,5780.377602430801,2.87,0.0815316644396214
2018-02-20,-0.09521120886424282,0.0468610003590583,6033.306605646748,2.88,0.04375648454342908
2018-02-21,-0.04990042167285724,0.0445800013840198,5632.773901955929,2.94,-0.06638693006517324
2018-02-22,-0.09168646729726551,0.0406743995845317,5271.564788593063,2.92,-0.06412632916748884
2018-02-23,0.05268765252954193,0.0428748987615108,5366.93403500366,2.88,0.018091259471374212
