Date,Uniswap Return,Uniswap Price,Famala Index,US Treasury Yield,Famala Index Return
2020-11-20,0.02848207527718258,3.84091406,14296.460595105333,0.83,0.03930188735390196
2020-11-21,-0.0074960418625356585,3.81223005,13908.557224291271,0.83,-0.027132825515349412
2020-11-22,-0.041009929309793254,3.65905312,13685.366409187225,0.83,-0.016047014187369753
2020-11-23,0.13522849259994674,4.18887791,13219.816952431314,0.86,-0.034018048390971785
2020-11-24,-0.029509226613707026,4.06707338,13740.551047707224,0.88,0.039390416459596976
2020-11-25,-0.09899124175859876,3.68375432,13624.902533299954,0.88,-0.008416584895739512
2020-11-26,-0.07093536114801123,3.43149857,12586.35486866389,0.88,-0.0762242270796287
2020-11-27,-0.034019143991128896,3.31672524,12492.355797602828,0.84,-0.007468331541730982
2020-11-28,0.04508196077403537,3.46967137,12859.063995695542,0.84,0.029354607252147124
2020-11-29,0.023466501834618743,3.55205527,13171.611003817297,0.84,0.024305579957170892
2020-11-30,0.05930307147080736,3.76907441,14253.857358648289,0.84,0.08216507111524497
2020-12-01,-0.05835832988436589,3.55541263,13708.537842121726,0.92,-0.03825768020582155
2020-12-02,0.10193271863320358,3.93694029,13978.369410758201,0.95,0.019683468196540498
2020-12-03,-0.011485303465339693,3.89198201,14133.467526415532,0.92,0.011095579970719777
2020-12-04,-0.09814994425053246,3.52813216,13769.259591141275,0.97,-0.025769184709523683
2020-12-05,0.0425989341446513,3.68167397,14019.41798793933,0.97,0.01816789022984209
2020-12-06,-0.007789329283421369,3.6531076,14133.697776698935,0.97,0.008151535881012844
2020-12-07,0.03004765915673627,3.7645407,14054.175341200138,0.94,-0.005626442333435123
2020-12-08,-0.13626356905980236,3.28498568,13507.151832127696,0.92,-0.03892249070415607
2020-12-09,0.021213830628688646,3.35541723,13602.865619463744,0.95,0.007086156173086475
2020-12-10,-0.033889244016383435,3.24360991,13426.54858949016,0.92,-0.01296175636119646
2020-12-11,-0.0874149361947917,2.97210942,13337.245988731363,0.90,-0.006651195589363819
2020-12-12,0.04937286369783897,3.12253386,13956.160225611999,0.90,0.04640495027260918
2020-12-13,0.06667356880477901,3.33782159,14147.88718888867,0.90,0.013737801814916005
2020-12-14,0.04322524391017166,3.48526339,14272.576690211696,0.90,0.008813294851612431
2020-12-15,-0.045118138977239465,3.33150942,14456.645888478659,0.92,0.01289670409640889
2020-12-16,0.05746169131740175,3.52855053,15853.095115826884,0.92,0.09659565836506628
2020-12-17,0.045148676606459694,3.69151096,17199.818336550914,0.94,0.08495017603089594
2020-12-18,0.020326596769299474,3.76731462,17435.724992273488,0.95,0.01371564810200668
