Date,Cardano Return,Cardano Price,Famala Index,US Treasury Yield,Famala Index Return
2018-01-23,-0.013035585138987258,0.5630699992179871,5246.956750975205,2.63,-0.00039507979880736585
2018-01-24,0.09987048779706284,0.6222079992294312,5469.373230457156,2.65,0.042389615550120975
2018-01-25,0.02427196376911559,0.6374949812889099,5410.592635700135,2.63,-0.010747226835735129
2018-01-26,-0.022386955928756704,0.6233819723129272,5413.054327040056,2.66,0.00045497628553251636
2018-01-27,-0.010561171906994295,0.616832971572876,5533.444854628618,2.66,0.022240775782938288
2018-01-28,0.083106209961786,0.6702859997749329,5545.745689356809,2.66,0.002222997617460982
2018-01-29,-0.07283058510165949,0.6232039928436279,5347.267155436178,2.70,-0.035789332046282554
2018-01-30,-0.15839399237214669,0.5319129824638367,4834.593874242436,2.73,-0.09587575602474699
2018-01-31,-0.02396926532115694,0.5193150043487549,4849.9859215516335,2.72,0.0031837311901631925
2018-02-01,-0.2082829150357476,0.421671986579895,4413.582291916229,2.78,-0.08998039101436973
2018-02-02,-0.07671266086464373,0.3905340135097503,4353.792654083718,2.84,-0.013546736840507088
2018-02-03,0.11661071796125769,0.438836008310318,4473.1250192518155,2.84,0.027408830564351207
2018-02-04,-0.14579040600579615,0.3793030083179474,4086.984191386996,2.84,-0.08632462231726452
2018-02-05,-0.1472412917517694,0.3273710012435913,3433.256623618662,2.77,-0.15995353472274598
2018-02-06,0.121741135439484,0.3697530031204223,3788.410174940968,2.79,0.10344509317453027
2018-02-07,-0.08257573827435236,0.3404470086097717,3789.6556080055193,2.84,0.000328748210209535
2018-02-08,0.046310385988044135,0.3565840125083923,4103.6538190774845,2.85,0.0828566612777833
2018-02-09,0.09367617094273574,0.3916020095348358,4236.018561667811,2.83,0.0322553383950117
2018-02-10,0.03579176552843273,0.4058719873428345,4123.746487009211,2.83,-0.026504150778413064
2018-02-11,-0.09315930258700014,0.3697690069675445,3904.729636148855,2.83,-0.053111133662147064
2018-02-12,0.038584059760500895,0.384315013885498,4332.791331495647,2.86,0.10962646206895363
2018-02-13,-0.02904269455355404,0.3733139932155609,4160.439412675299,2.83,-0.03977849511641576
2018-02-14,0.061284608142256836,0.3969079852104187,4579.24657915102,2.91,0.10066416667426362
2018-02-15,0.030910048930926977,0.4093680083751678,5012.456224070176,2.90,0.09460282110413712
2018-02-16,-0.013670070879765833,0.4038099944591522,5054.084224853587,2.87,0.008304910591240776
2018-02-17,0.0390316748719838,0.4198830127716064,5589.596672054507,2.87,0.10595637575003662
