Date,Famala Index,Famala Index Return,US Treasury Yield
2016-04-09,357.3391835334647,0.005092192590408719,1.72
2016-04-10,360.81980948331517,0.009740398227345622,1.72
2016-04-11,362.5066089131063,0.004674908044008344,1.73
2016-04-12,369.77425765098604,0.020048320662815394,1.79
2016-04-13,366.43160986696375,-0.009039698450770121,1.77
2016-04-14,364.6760840171401,-0.004790869025903635,1.8
2016-04-15,370.2572763194816,0.015304519673626777,1.76
2016-04-16,369.52185821204375,-0.001986235394880629,1.76
2016-04-17,363.9454217109889,-0.015090951663960569,1.76
2016-04-18,365.24720072101826,0.003576852276117103,1.78
2016-04-19,372.81373880638046,0.020716211022084305,1.79
2016-04-20,379.25489202221485,0.017277134787083533,1.85
2016-04-21,388.06781178398205,0.023237458361515317,1.88
2016-04-22,385.79180734512687,-0.005864965786242843,1.89
2016-04-23,388.3285676476913,0.006575464419582746,1.89
