Date,Monero Return,Monero Price,Famala Index,US Treasury Yield,Famala Index Return
2019-03-24,-0.0017789719924463725,53.7446800442,2536.036421368509,2.44,0.00023740293438332335
2019-03-25,-0.026486671714770267,52.3398491234,2500.6966966621653,2.43,-0.013935022544854986
2019-03-26,0.01141059853994886,52.9404984967,2514.4743131001114,2.41,0.005509511191955404
2019-03-27,0.03323957366155747,54.7297910149,2559.174752211354,2.39,0.01777725025002594
2019-03-28,-0.015307152710350616,53.8984129944,2554.7180037347757,2.39,-0.0017414787609667695
2019-03-29,-0.007740638914201521,53.4828154119,2570.6606581063834,2.41,0.00624047521029753
2019-03-30,-0.0006102077850891651,53.4501897368,2580.389364069898,2.41,0.003784515833638271
2019-03-31,0.044551834376165396,55.8853360824,2580.3390144344257,2.41,-1.9512417844110392e-05
2019-04-01,0.07059510992086461,59.9731601653,2613.4373912344604,2.49,0.012827142718411115
2019-04-02,0.14106481890126,69.0590510186,3085.213811340748,2.48,0.18051950342818185
2019-04-03,-0.04976267324513776,65.7065934393,3164.3763106253396,2.52,0.025658675257320192
2019-04-04,-0.027472281826540625,63.9260531228,3144.0482140135605,2.51,-0.00642404525135693
2019-04-05,0.07872665267370353,69.1621431114,3176.2183060719003,2.50,0.01023206066464001
2019-04-06,-0.01559591663884924,68.0918637803,3200.5394425745076,2.50,0.007657262240480488
2019-04-07,0.024876643156580763,69.8070058156,3286.4762274916247,2.50,0.02685071890505739
2019-04-08,0.018260282553613554,71.0934107806,3353.741638737246,2.52,0.020467335404084436
2019-04-09,-0.03902240203053747,68.3726065315,3310.103665931131,2.51,-0.013011727648330512
2019-04-10,0.03738867881247823,70.9773586491,3390.6117391318267,2.48,0.024321918986802648
2019-04-11,-0.06715923469227834,66.3671164234,3253.9501259834783,2.51,-0.04030588686139005
2019-04-12,-0.004012418084373161,66.1013573301,3283.8333659258483,2.56,0.00918368099859491
2019-04-13,-0.011833164778324044,65.3237787577,3291.403487441205,2.56,0.0023052696869173815
2019-04-14,0.019070734327825984,66.5815059597,3329.3231646617883,2.56,0.011520823066898637
2019-04-15,-0.03405455155240056,64.3522757842,3278.3515258608895,2.55,-0.015309910236988584
2019-04-16,0.06832857025822851,68.9030793047,3391.310327212625,2.60,0.03445597595641385
2019-04-17,-0.02090825444702634,67.4773924391,3405.9464357949537,2.59,0.004315767998252862
2019-04-18,0.02466100331986037,69.1621410507,3423.3175224085808,2.57,0.005100223077810278
2019-04-19,-0.008643066552002582,68.5669439321,3436.3674492447926,2.57,0.0038120702361930407
2019-04-20,0.013869033518288823,69.5245261968,3472.8855284129636,2.57,0.010626942463966279
2019-04-21,-0.011661038133674844,68.7185066912,3484.543532669512,2.57,0.003356863956836436
2019-04-22,-0.0018333479645292771,68.5926371734,3544.952432563992,2.59,0.01733624485620949
2019-04-23,0.010706188151240791,69.3309480481,3710.9011168147485,2.57,0.046812668831984705
2019-04-24,-0.024109042837240132,67.6794334635,3671.803110792557,2.53,-0.01053598702617847
2019-04-25,-0.09897985706614695,61.3013881201,3506.050540108699,2.54,-0.045142009438540034
2019-04-26,0.012777160552448645,62.0896710829,3544.7484400120507,2.51,0.011037462084660079
2019-04-27,0.007393017091685758,62.55040208,3532.1758150108462,2.51,-0.0035468313799897387
2019-04-28,-0.021336154242114873,61.2299537896,3555.2037652941476,2.51,0.00651948019842004
2019-04-29,-0.01130046763995426,60.5419215431,3541.152425030814,2.54,-0.003952330496637834
2019-04-30,0.025344659752452894,62.0959458693,3555.742793674398,2.51,0.004120231747284101
2019-05-01,0.04508571820877421,64.9596573535,3609.259077419207,2.52,0.015050662224504466
2019-05-02,-0.008546186328275331,64.4068655135,3698.6311884077886,2.55,0.024761899623034753
2019-05-03,0.03984258389752395,67.0248079439,3887.50721524982,2.54,0.05106646681453527
2019-05-04,0.011376583067175036,67.7916751321,3967.718551034694,2.54,0.020633102742606567
2019-05-05,-0.025571091908473127,66.0801440958,3948.523607354328,2.54,-0.004837778545396195
2019-05-06,0.007059342530813279,66.5482768782,3883.5476100574683,2.51,-0.016455770246843252
2019-05-07,-0.015197946327786494,65.5445265302,3973.8647967582788,2.45,0.023256361391556096
2019-05-08,0.026869554655057453,67.3295528049,4108.601228749656,2.49,0.0339056407005316
2019-05-09,-0.04004513797517856,64.6866033896,4301.851636477676,2.45,0.04703557171130737
2019-05-10,0.05102494575784733,68.0728917443,4463.776020360116,2.47,0.03764062491355979
2019-05-11,0.1308215795456695,77.5870590159,5061.008005146564,2.47,0.13379524018731265
2019-05-12,-0.04453055900613747,74.2078610786,4914.402059372911,2.47,-0.02896773639254641
2019-05-13,0.06456653972268311,79.1572696608,5613.849506491346,2.40,0.14232605282761215
2019-05-14,0.04830299754863775,83.0746520866,5574.116351521773,2.42,-0.007077702194123469
2019-05-15,0.12444539346955358,94.0837195835,5563.969514405989,2.37,-0.0018203489980997986
2019-05-16,-0.07815106080556425,87.0109487948,5295.534034466969,2.40,-0.04824531824698138
2019-05-17,-0.05920696054600209,82.0088360697,4937.820871369802,2.39,-0.06754996961003827
2019-05-18,-0.029915126473961176,79.5918636308,4920.505243245282,2.39,-0.0035067347673380838
2019-05-19,0.12978121129550724,90.6216442232,5575.763863532134,2.39,0.13316897104954217
2019-05-20,-0.03381661187762903,87.6083638698,5446.641201947418,2.41,-0.0231578425387116
2019-05-21,0.01579886090362152,89.003467732,5422.8877752023045,2.43,-0.0043611146511029295
2019-05-22,-0.06376656044407451,83.5051888473,5253.41103172802,2.39,-0.03125212073339687
2019-05-23,0.013298865020689494,84.6231302819,5417.305532385638,2.31,0.031197730325644716
2019-05-24,0.01121855729965484,85.5778248529,5470.37721661982,2.32,0.00979669393149593
