Date,EOS Return,EOS Price,Famala Index,US Treasury Yield,Famala Index Return
2018-04-23,0.02231383026478894,11.60569953918457,4652.597663015122,2.98,0.00932461382837079
2018-04-24,0.27678776588199444,15.306599617004396,5016.371787519564,3.00,0.07818731617311142
2018-04-25,-0.0569670501929742,14.458999633789062,4663.483200218652,3.03,-0.07034737500495439
2018-04-26,0.06865163015789057,15.486499786376951,4837.809505566189,3.00,0.03738113720220181
2018-04-27,0.0734980902164669,16.667600631713867,4664.1798958832005,2.96,-0.035890129506591165
2018-04-28,0.12396877038163436,18.86739921569824,4772.713271704393,2.96,0.023269551827747644
2018-04-29,0.13259687595728048,21.542600631713867,4761.570902446147,2.96,-0.002334598502764769
2018-04-30,-0.20326486977106947,17.58009910583496,4743.84413757718,2.95,-0.0037228816355249477
2018-05-01,0.075242152918316,18.95389938354492,4621.812593212771,2.97,-0.025724189249340227
2018-05-02,0.013390069195626275,19.209400177001957,4658.942118450062,2.97,0.008033541925048121
2018-05-03,-0.07801753861880459,17.7677001953125,4921.523486784203,2.94,0.05636072774853379
2018-05-04,-0.035261620834690206,17.152099609375,4892.121020557931,2.95,-0.005974261080989749
2018-05-05,0.03699359519236413,17.798500061035156,4958.445115554819,2.95,0.013557329166260812
2018-05-06,-0.018422994871630977,17.473600387573242,4879.543621694076,2.95,-0.015912547587393
2018-05-07,0.028618880243480162,17.980899810791016,4750.851139309161,2.95,-0.026373876813552403
2018-05-08,0.008594396603718881,18.13610076904297,4663.562132316648,2.97,-0.01837334078314362
2018-05-09,-0.010860419740193684,17.940200805664062,4752.6154106127715,3.00,0.019095548803567872
2018-05-10,-0.02252010280072504,17.540700912475586,4642.91921384868,2.97,-0.0230812273425567
2018-05-11,-0.16296813936592566,14.902899742126465,4390.001037328718,2.97,-0.05447395590377053
2018-05-12,-0.04446212650627354,14.254799842834473,4401.880216568663,2.97,0.0027059627409959743
2018-05-13,0.046801259369891476,14.937800407409668,4448.933196173412,2.97,0.010689291232333444
2018-05-14,-0.06324603758826083,14.022299766540527,4466.568771940719,3.00,0.00396400102893767
2018-05-15,-0.07628431869854635,12.99240016937256,4400.0326879567065,3.08,-0.014896464687165769
2018-05-16,-0.01726587826774536,12.770000457763672,4300.780212715548,3.09,-0.022557213157261616
2018-05-17,-0.026881207023817962,12.431300163269045,4197.969949057729,3.11,-0.02390502619823587
2018-05-18,0.045062582167701475,13.004300117492676,4263.96168170375,3.06,0.015719915446472933
2018-05-19,0.012312060969624419,13.165399551391602,4263.077680399479,3.06,-0.00020731924211818558
2018-05-20,0.061893636179339524,14.005999565124512,4387.007784080252,3.06,0.029070571303584758
2018-05-21,-0.036003797367853266,13.510700225830078,4364.132215221741,3.06,-0.005214389849391951
2018-05-22,-0.09672418854828177,12.26509952545166,4216.471376008073,3.06,-0.033835097547832906
2018-05-23,-0.1194271870421815,10.884400367736816,4011.6245002832766,3.01,-0.04858253678428488
2018-05-24,0.15812220021337028,12.74899959564209,3952.54647183117,2.98,-0.014726709453473227
2018-05-25,-0.03690288706733148,12.287099838256836,3920.7307872788456,2.93,-0.008049414416520347
2018-05-26,0.005219528991836832,12.351400375366213,3828.359374648265,2.93,-0.023559743742234872
2018-05-27,0.012646979166999708,12.508600234985352,3861.0673717640516,2.93,0.008543606781636447
2018-05-28,-0.07177143912731417,11.64229965209961,3840.648251602085,2.93,-0.0052884651304691815
2018-05-29,0.04538837697090434,12.182900428771973,3952.335619305397,2.77,0.029080342792840403
2018-05-30,-0.013935728560536058,12.014300346374512,3912.228807187177,2.84,-0.010147623071865623
2018-05-31,0.021654383329361527,12.277299880981444,3931.2552891545183,2.83,0.004863335685373901
2018-06-01,0.0023917902928471545,12.306699752807615,3950.1392211277216,2.89,0.0048035374414121534
2018-06-02,0.18016326476214822,14.736200332641602,3956.531912069525,2.89,0.0016183457300976403
2018-06-03,-0.007861900558889173,14.620800018310549,3968.8711712267473,2.89,0.0031187058341627647
2018-06-04,-0.07632433908870236,13.54640007019043,3887.183983737015,2.94,-0.020581970027634722
2018-06-05,0.04740979649782404,14.204099655151367,3931.1027292244694,2.92,0.011298344938443707
2018-06-06,-0.01887580651272141,13.93850040435791,3958.151996695706,2.97,0.006880834548064104
2018-06-07,0.045633569449030464,14.589300155639648,3970.5097774574588,2.93,0.0031221086941756984
2018-06-08,-0.038377998103964736,14.039999961853027,3952.3578027128556,2.93,-0.004571698789828173
2018-06-09,0.003909747630362914,14.095000267028809,3905.6706394958205,2.93,-0.011812483977283
2018-06-10,-0.21332148479810462,11.387299537658691,3565.033875897889,2.93,-0.08721594702668115
2018-06-11,0.017859655535958124,11.592499732971191,3625.644770520669,2.96,0.017001491916402784
2018-06-12,-0.1258454307126035,10.221699714660645,3505.427328443488,2.96,-0.03315753464173962
2018-06-13,-0.007384101193712307,10.146499633789062,3391.459041381659,2.98,-0.032511952576245305
2018-06-14,0.10770046023392878,11.300299644470217,3526.164181873796,2.94,0.03971893478544242
2018-06-15,-0.05833083815283619,10.65999984741211,3438.659353936369,2.93,-0.0248158688660173
2018-06-16,-0.0027523523957582595,10.63070011138916,3498.887188926402,2.93,0.01751491752769515
2018-06-17,-0.01774714186339346,10.443699836730955,3471.4726073178836,2.93,-0.007835228782248974
2018-06-18,0.026280127883625704,10.721799850463867,3609.8834643374084,2.92,0.039870934521492124
2018-06-19,0.0004755766411838429,10.726900100708008,3601.053145352924,2.89,-0.0024461507058941637
2018-06-20,-0.0292579620942691,10.41759967803955,3624.8760782015133,2.93,0.006615546032507869
2018-06-21,0.00037434707078108555,10.421500205993652,3607.31849644836,2.90,-0.004843636409734789
2018-06-22,-0.18544265825751602,8.657520294189453,3292.3896061900705,2.90,-0.08730276812772628
2018-06-23,-0.028961640923652547,8.410380363464355,3341.120442016533,2.90,0.014801053840907259
2018-06-24,-0.03881567089478146,8.090180397033691,3396.3055594585076,2.90,0.016516949448451317
2018-06-25,0.01888558453900478,8.244420051574707,3438.7521837859194,2.87,0.012497881472766953
2018-06-26,-0.09388720878958498,7.5055999755859375,3406.0884654072815,2.88,-0.009498712507592372
2018-06-27,0.06527102557436654,8.011839866638184,3414.6395832102403,2.83,0.0025105389627442477
2018-06-28,-0.07227160476940105,7.453239917755127,3290.3700862509095,2.84,-0.036393151877686616
2018-06-29,0.036544114177911056,7.730649948120117,3494.687941129929,2.85,0.0620957064169709
2018-06-30,0.05096067157739901,8.134819984436035,3581.256357015621,2.85,0.024771429479251768
2018-07-01,-0.00047221122309328326,8.130979537963867,3566.401884910253,2.85,-0.004147838251307538
2018-07-02,0.0889069630997693,8.88698959350586,3655.5363346476647,2.87,0.024992822630154773
2018-07-03,-0.0050402144986470354,8.842309951782227,3616.297982046655,2.83,-0.010733952287412243
2018-07-04,0.004843278891178078,8.885239601135254,3656.256493100523,2.83,0.011049562633456892
2018-07-05,0.004530954621966911,8.925589561462402,3692.631720443926,2.84,0.009948762460195057
2018-07-06,-0.028023002207742318,8.678939819335938,3732.7297155270894,2.82,0.010858920715316503
2018-07-07,0.03882313817488193,9.022509574890137,3828.1282697538045,2.82,0.025557316360165148
2018-07-08,-0.0346803240134361,8.714969635009766,3790.5550509449513,2.82,-0.009815036529920043
2018-07-09,-0.11792239692938897,7.745560169219971,3809.767757612534,2.86,0.005068573443562836
2018-07-10,-0.07219191006083701,7.206099987030029,3602.390249078104,2.87,-0.05443311029131793
2018-07-11,-0.0025858748254898568,7.187489986419678,3626.3192512957235,2.85,0.006642534695885151
2018-07-12,-0.041345384266309654,6.8963799476623535,3545.7290284226665,2.85,-0.022223697718909113
2018-07-13,0.008633858189213112,6.956180095672607,3530.2399403386653,2.83,-0.0043683789595426546
2018-07-14,0.004771379298797216,6.989449977874756,3555.0231018241543,2.83,0.0070202484545884725
2018-07-15,0.057575287177168095,7.403679847717285,3578.6456538508887,2.83,0.006644837839341522
